"","text","created","url","latitude","longitude","retweets","hashtag"
"72","Damn it Archie! I thought the janitor was a good call 20mins ago #Riverdale",2017-12-07 14:13:17,"https://twitter.com/UnionJLovers_/status/938773409441439744",NA,NA,0,"#Riverdale"
"73","But I gotta admit I love it when Archie<e2><80><99>s overprotective of Betty but still <ed><a0><bd><ed><b8><a9> #Bughead pa rin!! #Riverdale",2017-12-07 14:13:09,"https://twitter.com/priscurls/status/938773379317866496",NA,NA,0,"#Riverdale"
"74","ATM watching riverdale chapter twenty one ""House of the devil"" #Riverdale https://t.co/O7z3bKVou5",2017-12-07 14:13:01,"https://twitter.com/zorengutierrez/status/938773345574588416",NA,NA,0,"#Riverdale"
"75","dw: #Riverdale S2C21: The Devil's House :(((((((( https://t.co/JGlWn9Yh8l",2017-12-07 14:12:19,"https://twitter.com/eddelossantos_/status/938773169019613184",NA,NA,0,"#Riverdale"
"76","@lilireinhart I guess Bughead isn't invincible because BARCHIE IS RISING and you can't stop it.

#Riverdale #RiverdaleS2 #Barchie",2017-12-07 14:12:06,"https://twitter.com/archiebettyOTP/status/938773113441005568",NA,NA,2,"#Riverdale"
"77","@demonicruby I hope this answers your question and I am posting my answer to your other question next.

#Riverdale<e2><80><a6> https://t.co/gFf66YAA1u",2017-12-07 14:12:06,"https://twitter.com/archiebettyOTP/status/938773111708815360",NA,NA,1,"#Riverdale"
"78","Betty &amp; Alice walking into the bar like.. <ed><a0><bd><ed><b4><a5> #Riverdale",2017-12-07 14:11:53,"https://twitter.com/tjzzzzzo/status/938773057140768772",NA,NA,0,"#Riverdale"
"79","queen #riverdale https://t.co/YGf1hf0sGq",2017-12-07 14:11:39,"https://twitter.com/dodiewonderland/status/938772999964065793",NA,NA,0,"#Riverdale"
"80","<e2><80><9c>This feeling that had long been burried, shook loose<e2><80><9d> omg what #Riverdale",2017-12-07 14:11:36,"https://twitter.com/Elleswiftie13/status/938772986387079168",NA,NA,0,"#Riverdale"
"81","OMG WHY IS THIS HAPPENING 
#Riverdale",2017-12-07 14:11:20,"https://twitter.com/mryanglnepnce/status/938772919856934913",NA,NA,0,"#Riverdale"
"82","Amen to that <ed><a0><bd><ed><b9><86><ed><a0><bd><ed><b9><86><ed><a0><bd><ed><b9><86>  #barchie #riverdale https://t.co/qVPesR9Jzg",2017-12-07 14:11:15,"https://twitter.com/nesrine_nemri/status/938772900198436866",NA,NA,1,"#Riverdale"
"83","I've just watched episode S02E08 of Riverdale! #Riverdale #tvtime https://t.co/BFgRbRB7rf",2017-12-07 14:11:12,"https://twitter.com/MarjorieLeGuill/status/938772888898990080",NA,NA,0,"#Riverdale"
"84","#Riverdale that betty dance was disgusting, misogynistic and humiliating. Betty is 16, she should not be stripping<e2><80><a6> https://t.co/3tc7rpWMQ9",2017-12-07 14:11:10,"https://twitter.com/summersansa/status/938772878723633152",NA,NA,0,"#Riverdale"
"85","#riverdale has me feeling all sorts of way but DAMN BETTY IS BADASS @lilireinhart",2017-12-07 14:10:55,"https://twitter.com/dodiewonderland/status/938772816308076544",NA,NA,0,"#Riverdale"
"86","#riverdale damnnn Archie Andrews <ed><a0><bd><ed><b8><8d><ed><a0><bd><ed><b8><8d>",2017-12-07 14:10:18,"https://twitter.com/britishcraw/status/938772660821151744",NA,NA,0,"#Riverdale"
"87","Good morning. You can now stream the newest episode of #Riverdale on The CW app: https://t.co/qh4UsatoBe https://t.co/TjC8Y2v8ZZ",2017-12-07 14:10:16,"https://twitter.com/ArchieComics/status/938772653279727618",NA,NA,36,"#Riverdale"
"88","IM SO CONFUSED IM A BUGHEAD STAN BUT WHEN I SAW THE ENDING IT WAS SO BEAUTIFUL AND THE SONG WAS JUSTTHE RIGHT FIT ASDFGHJKL #Riverdale",2017-12-07 14:10:14,"https://twitter.com/curloualmighty/status/938772643720732672",NA,NA,0,"#Riverdale"
"89","Love all the craziness that is #Riverdale? Come join @ssnpodcast   and I as we talk about the latest episodes. On<e2><80><a6> https://t.co/BZypg463uN",2017-12-07 14:10:12,"https://twitter.com/BookDreamer01/status/938772633801379840",NA,NA,0,"#Riverdale"
"90","Mate, Betty in that episode<ed><a0><bd><ed><b8><a6><ed><a0><bd><ed><b8><8d> #Riverdale",2017-12-07 14:10:10,"https://twitter.com/harvey_barwis/status/938772625031073792",NA,NA,0,"#Riverdale"
"91","lol what was Betty thinking hitting the pole?? That was soooo uncomfortable to watch #riverdale",2017-12-07 14:10:03,"https://twitter.com/BriaSavanna/status/938772598359552005",NA,NA,0,"#Riverdale"
"92","@CW_Riverdale yo if you think a 16 yo girl strip dancing in front of a bunch of old men and her mother is a thing p<e2><80><a6> https://t.co/Fqy4oBaZ6W",2017-12-07 14:10:01,"https://twitter.com/katdebustos/status/938772589538713606",NA,NA,0,"#Riverdale"
"93","I can't be the only one who thinks betty is psychotic #Riverdale",2017-12-07 14:09:47,"https://twitter.com/camiee_x/status/938772530336116736",NA,NA,0,"#Riverdale"
"94","#Barchie can<e2><80><99>t be a thing!! He had his chance and he blew it!!!! #Riverdale",2017-12-07 14:09:27,"https://twitter.com/priscurls/status/938772446630383616",NA,NA,1,"#Riverdale"
"95","alice: hal would never go
fp: then leave him
alice:
fp:
alice:
fp: at home

HONEY I WAS SHOOK TO THE BONE @CW_Riverdale #Riverdale",2017-12-07 14:09:27,"https://twitter.com/thefluppingoat/status/938772446529949696",NA,NA,0,"#Riverdale"
"96","K WTF HAPPEND TO THE EPISODE OMG #Riverdale",2017-12-07 14:09:22,"https://twitter.com/yoitsangela__/status/938772426552414208",NA,NA,0,"#Riverdale"
"97","2nd week in a row and I<e2><80><99>m still saying the Janitor is the black hood so many dang ties go towards him if not well t<e2><80><a6> https://t.co/MIz7sZCpvU",2017-12-07 14:09:11,"https://twitter.com/justine_shilt24/status/938772381434351617",NA,NA,0,"#Riverdale"
"98","Just because I've read tons of Archie Comics when I was a child. #Riverdale",2017-12-07 14:09:03,"https://twitter.com/danatugade/status/938772345547767808",NA,NA,0,"#Riverdale"
"99","Oh my god, the chemistry between FP and Alice is making me very flustered #riverdale https://t.co/cPvUXWdnVo",2017-12-07 14:09:02,"https://twitter.com/newxxromantic/status/938772342960001024",NA,NA,0,"#Riverdale"
"100","Needless to say I wasn't ready for Riverdale..
100% Shook...
#riverdale",2017-12-07 14:08:53,"https://twitter.com/lawrnce_97/status/938772305819439104",NA,NA,0,"#Riverdale"
"101","Betty was truly wildin out last night on #riverdale",2017-12-07 14:08:40,"https://twitter.com/natgillz/status/938772247636008961",NA,NA,1,"#Riverdale"
"102","Alice Cooper, what a Taylor Swift-esque entrance! <ed><a0><bd><ed><b8><ae>

@madchenamick 
#Riverdale",2017-12-07 14:08:38,"https://twitter.com/MrPapaPauL/status/938772243219341314",NA,NA,0,"#Riverdale"
"103","FUCK YOU #Riverdale BRING #VARCHIE BACK",2017-12-07 14:08:25,"https://twitter.com/sabgayoso/status/938772184813596673",NA,NA,1,"#Riverdale"
"104","So it HAS been confirmed that Alice was a Serpent #riverdale https://t.co/ldVmkHhRGc",2017-12-07 14:08:17,"https://twitter.com/newxxromantic/status/938772151557066752",NA,NA,0,"#Riverdale"
"105","@lilireinhart gurl you b lookin fiiiiinnne <ed><a0><bd><ed><b8><8d><ed><a0><bd><ed><b6><a4><ed><a0><bd><ed><b6><a4><ed><a0><bd><ed><b6><a4><ed><a0><bd><ed><b0><8d><ed><a0><bd><ed><b0><8d> #Riverdale",2017-12-07 14:08:14,"https://twitter.com/believepa_G/status/938772139473334273",NA,NA,0,"#Riverdale"
"106","So basically every single Ronnie&amp;Archie scene has made me cringe this episode idk #riverdale",2017-12-07 14:07:51,"https://twitter.com/avonswhxrx/status/938772044883333121",NA,NA,0,"#Riverdale"
"107","@CW_Riverdale Yes! Yes! Yes!! #barchie hints!! Archie and Betty are end game #Riverdale I need this to happen this season. At least a kiss!!",2017-12-07 14:07:35,"https://twitter.com/MidnightsDarlin/status/938771978739073024",NA,NA,1,"#Riverdale"
"108","The look on Betty<e2><80><99>s face worries me. #DarkBettyisback #Riverdale @CW_Riverdale",2017-12-07 14:07:28,"https://twitter.com/BrookeWigfield/status/938771946757640192",NA,NA,0,"#Riverdale"
"109","Congrats to @CW_Riverdale for turning Archie into a selfish child and a revolting creeper in the space of one episo<e2><80><a6> https://t.co/mlxdgwigRc",2017-12-07 14:07:24,"https://twitter.com/juicycapoochie/status/938771929049202689",NA,NA,0,"#Riverdale"
"110","I therefore conclude that I am Betty Cooper in spirit. <ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82> #Riverdale",2017-12-07 14:06:40,"https://twitter.com/cldnchls/status/938771747578318848",NA,NA,0,"#Riverdale"
"111","I just watched S02E02: ""Chapter Fifteen: Nighthawks"" of Riverdale #Riverdale  #tvtime https://t.co/BGK0nEfT9Y https://t.co/Q6urEODDTs",2017-12-07 14:06:08,"https://twitter.com/shellahey/status/938771610563117056",NA,NA,0,"#Riverdale"
"112","#Riverdale is really messing with my emotions rn like irdk what to think <ed><a0><bd><ed><b2><80>",2017-12-07 14:06:00,"https://twitter.com/cyndalalex/status/938771579370029062",NA,NA,0,"#Riverdale"
"113","Can someone explain to me is Betty actually a serpent now or what? I'm confused #Riverdale<c2><a0> #Bughead<c2><a0> #Varchie<c2><a0> #BettyCooper<c2><a0>  @lilireinhart",2017-12-07 14:05:57,"https://twitter.com/juliett_jn/status/938771565914873856",NA,NA,1,"#Riverdale"
"114","I<e2><80><99>m crying #RiverdalePL  #riverdale betty dance",2017-12-07 14:05:55,"https://twitter.com/mainharrysxo/status/938771555726909440",NA,NA,0,"#Riverdale"
